lepoch,energy,energy_std,learning_rate
399,-24.404621,0.29010183,0.053144775
400,-24.395063,0.29030225,0.06643097
401,-24.400667,0.2750856,0.08303872
402,-24.400255,0.29120207,0.1037984
403,-24.405184,0.28227153,0.129748
404,-24.399958,0.29470634,0.15
405,-24.396517,0.34904414,0.06995581
406,-24.40694,0.3308853,0.035099078
407,-24.404646,0.29268718,0.043873847
408,-24.407942,0.28595895,0.05484231
409,-24.420046,0.29021564,0.06855288
410,-24.39547,0.30182984,0.0856911
411,-24.40523,0.2831439,0.107113875
412,-24.414879,0.28317973,0.13389234
413,-24.403719,0.3056022,0.10984525
414,-24.41722,0.35747376,0.035313897
415,-24.41024,0.28697124,0.044142373
416,-24.404144,0.2970697,0.055177964
417,-24.408457,0.2909419,0.06897245
418,-24.406593,0.2743495,0.08621557
419,-24.412367,0.28042242,0.10776946
420,-24.413155,0.28418502,0.13471183
421,-24.40894,0.30539167,0.114845365
422,-24.39924,0.35012594,0.041754227
423,-24.403143,0.28953218,0.052192785
424,-24.415882,0.279276,0.06524098
425,-24.412075,0.27938387,0.081551224
426,-24.416021,0.27784705,0.10193903
427,-24.406555,0.2757861,0.1274238
428,-24.40519,0.28623003,0.15
429,-24.403967,0.35481286,0.05146662
430,-24.400284,0.29236913,0.035717648
431,-24.39858,0.28385457,0.04464706
432,-24.410488,0.28938657,0.055808827
433,-24.418333,0.28721023,0.06976104
434,-24.40944,0.28058568,0.0872013
435,-24.405132,0.27163032,0.10900162
436,-24.42643,0.27264214,0.13625203
437,-24.400438,0.3472352,0.042885724
438,-24.412426,0.2865364,0.053607155
439,-24.413025,0.2756944,0.06700894
440,-24.41523,0.2881071,0.08376118
441,-24.41616,0.2712497,0.104701474
442,-24.413794,0.27882046,0.13087684
443,-24.423298,0.30192,0.08533913
444,-24.411533,0.32288426,0.03799888
445,-24.41982,0.28228107,0.047498602
446,-24.406694,0.2761999,0.059373252
447,-24.399925,0.27800718,0.07421657
448,-24.422918,0.26809138,0.09277071
449,-24.411875,0.27158207,0.115963385
450,-24.411402,0.27025554,0.14495423
451,-24.41402,0.30739808,0.06429136
452,-24.41387,0.30147335,0.034336813
453,-24.408306,0.28252733,0.042921014
454,-24.413788,0.27132338,0.053651266
455,-24.404898,0.2783617,0.067064084
456,-24.404902,0.27081713,0.0838301
457,-24.411043,0.26834747,0.10478763
458,-24.416828,0.26727277,0.13098454
459,-24.422998,0.28198496,0.10515431
460,-24.418293,0.32821754,0.037570648
461,-24.41603,0.26948065,0.04696331
462,-24.40809,0.26942983,0.058704138
463,-24.411274,0.26480228,0.07338017
464,-24.414953,0.26706302,0.091725215
465,-24.415215,0.2826938,0.11465652
466,-24.413103,0.26943737,0.14332065
467,-24.4095,0.30699882,0.06481668
468,-24.406672,0.2979422,0.033945486
469,-24.41741,0.2797998,0.042431857
470,-24.414652,0.26538217,0.053039823
471,-24.425423,0.27087203,0.06629978
